,CH1,CH2,CH3,CH4,,Gate Volteage,Drain Voltage,Drain Current
356,903,-257,7552,382,,0.070546875,-4.01563E-05,0.000023875
357,1278,-133,5872,-115,,0.09984375,-2.07813E-05,-7.1875E-06
358,896,-127,8034,-131,,0.07,-1.98438E-05,-8.1875E-06
359,754,-134,8070,337,,0.05890625,-2.09375E-05,2.10625E-05
360,1151,126,8568,1277,,0.089921875,1.96875E-05,7.98125E-05
361,1025,-646,6924,1142,,0.080078125,-0.000100938,0.000071375
362,897,-767,5372,2048,,0.070078125,-0.000119844,0.000128
363,1280,-378,6029,1053,,0.1,-5.90625E-05,6.58125E-05
364,1399,255,5848,513,,0.109296875,3.98438E-05,3.20625E-05
365,1023,-256,5001,381,,0.079921875,-0.00004,2.38125E-05
366,1282,-2,7352,-133,,0.10015625,-3.125E-07,-8.3125E-06
367,1153,-763,7808,-259,,0.090078125,-0.000119219,-1.61875E-05
368,1407,-382,7940,512,,0.109921875,-5.96875E-05,0.000032
369,1023,-129,7700,-382,,0.079921875,-2.01563E-05,-0.000023875
370,1409,-131,6016,-14,,0.110078125,-2.04688E-05,-0.000000875
371,900,1,7228,607,,0.0703125,1.5625E-07,3.79375E-05
372,1392,0,8709,777,,0.10875,0,4.85625E-05
373,1538,259,7438,-256,,0.12015625,4.04688E-05,-0.000016
374,1278,-387,5888,640,,0.09984375,-6.04688E-05,0.00004
375,1023,1,5374,256,,0.079921875,1.5625E-07,0.000016
376,1282,-390,6407,265,,0.10015625,-6.09375E-05,1.65625E-05
377,1407,6,7431,1152,,0.109921875,9.375E-07,0.000072
378,1536,-7,8050,-21,,0.12,-1.09375E-06,-1.3125E-06
379,1408,4,6783,-256,,0.11,0.000000625,-0.000016
380,1407,122,8066,16,,0.109921875,1.90625E-05,0.000001
381,1154,-638,7296,894,,0.09015625,-9.96875E-05,0.000055875
382,1025,-382,7040,384,,0.080078125,-5.96875E-05,0.000024
383,766,-252,6650,903,,0.05984375,-0.000039375,5.64375E-05
384,1150,-144,7900,-2,,0.08984375,-0.0000225,-0.000000125
385,1150,400,9467,1635,,0.08984375,0.0000625,0.000102188
386,1280,-512,8044,1394,,0.1,-0.00008,0.000087125
387,1026,-1,6912,378,,0.08015625,-1.5625E-07,0.000023625
388,896,-256,7985,-392,,0.07,-0.00004,-0.0000245
389,1026,128,9658,-374,,0.08015625,0.00002,-0.000023375
390,1152,-129,11901,244,,0.09,-2.01563E-05,0.00001525
391,1153,128,9435,-382,,0.090078125,0.00002,-0.000023875
392,1148,-126,8171,663,,0.0896875,-1.96875E-05,4.14375E-05
393,894,-8,7942,515,,0.06984375,-0.00000125,3.21875E-05
394,1026,-767,9849,1294,,0.08015625,-0.000119844,0.000080875
395,1154,122,7808,653,,0.09015625,1.90625E-05,4.08125E-05
396,1404,-1,9480,7,,0.1096875,-1.5625E-07,4.375E-07
397,1024,-16,7152,1269,,0.08,-0.0000025,7.93125E-05
398,1151,511,11221,770,,0.089921875,7.98438E-05,0.000048125
399,895,258,10526,914,,0.069921875,4.03125E-05,0.000057125
400,1151,-2,8434,-640,,0.089921875,-3.125E-07,-0.00004
401,769,1,9355,250,,0.060078125,1.5625E-07,0.000015625
402,1164,262,11461,890,,0.0909375,4.09375E-05,0.000055625
403,1142,252,12513,-256,,0.08921875,0.000039375,-0.000016
404,642,-264,9035,-119,,0.05015625,-0.00004125,-7.4375E-06
405,1160,-127,10269,255,,0.090625,-1.98438E-05,1.59375E-05
406,1152,126,11258,-2,,0.09,1.96875E-05,-0.000000125
407,1279,0,11654,255,,0.099921875,0,1.59375E-05
408,1015,0,12802,388,,0.079296875,0,0.00002425
